nct_id,modeltype,spec,term,ref,estimate,std.error,statistic,p.value,lci,uci
NCT00707993,glm,unadj,(Intercept),sulf,-0.285,0.137,-2.088,0.037,-0.553,-0.017
NCT00707993,glm,unadj,dpp4,sulf,-0.117,0.193,-0.603,0.546,-0.496,0.262
NCT00856284,glm,unadj,(Intercept),sulf,0.048,0.068,0.711,0.477,-0.085,0.181
NCT00856284,glm,unadj,dpp4,sulf,-0.233,0.083,-2.815,0.005,-0.396,-0.071
NCT01023581,glm,unadj,(Intercept),placebo,-0.878,0.21,-4.175,0,-1.29,-0.466
NCT01023581,glm,unadj,biguanide,placebo,-0.78,0.278,-2.806,0.005,-1.325,-0.235
NCT01023581,glm,unadj,dpp4,placebo,-0.089,0.258,-0.343,0.731,-0.594,0.417
NCT01289119,glm,unadj,(Intercept),placebo,-2.351,0.223,-10.539,0,-2.789,-1.914
NCT01289119,glm,unadj,dpp4,placebo,-0.155,0.327,-0.475,0.635,-0.795,0.485
NCT01632007,glm,unadj,(Intercept),placebo,-2.219,0.471,-4.713,0,-3.142,-1.296
NCT01632007,glm,unadj,dpp4,placebo,-0.592,0.564,-1.05,0.294,-1.698,0.513
NCT01890122,glm,unadj,(Intercept),placebo,-0.62,0.164,-3.777,0,-0.942,-0.298
NCT01890122,glm,unadj,dpp4,placebo,-0.676,0.252,-2.687,0.007,-1.17,-0.183
NCT01890122,glm,unadj,biguanide,placebo,-0.945,0.265,-3.569,0,-1.464,-0.426
NCT01217892,cox,adj,sex,placebo,0.289,0.386,0.749,0.454,-0.467,1.045
NCT01217892,cox,adj,age10,placebo,0.587,0.204,2.874,0.004,0.187,0.987
NCT01606007,cox,adj,sex,dpp4,-0.26,0.405,-0.643,0.52,-1.054,0.533
NCT01606007,cox,adj,age10,dpp4,-0.258,0.188,-1.37,0.171,-0.628,0.111
NCT01619059,cox,adj,sex,placebo,0.238,0.518,0.459,0.647,-0.778,1.253
NCT01619059,cox,adj,age10,placebo,-0.04,0.279,-0.145,0.885,-0.587,0.506
NCT02471404,cox,adj,sex,sulf,0.695,0.458,1.517,0.129,-0.203,1.594
NCT02471404,cox,adj,age10,sulf,-0.009,0.208,-0.043,0.966,-0.416,0.398
NCT02681094,cox,adj,sex,dpp4,0.151,0.437,0.346,0.729,-0.705,1.007
NCT02681094,cox,adj,age10,dpp4,-0.174,0.195,-0.892,0.372,-0.557,0.209
NCT00601250,cox,adj,sex,placebo,-0.314,0.276,-1.139,0.255,-0.855,0.226
NCT00601250,cox,adj,age10,placebo,-0.078,0.133,-0.583,0.56,-0.339,0.183
NCT00602472,cox,adj,sex,placebo,0.207,0.225,0.918,0.359,-0.235,0.649
NCT00602472,cox,adj,age10,placebo,0.031,0.115,0.267,0.79,-0.195,0.257
NCT00621140,cox,adj,sex,placebo,0.344,0.351,0.981,0.327,-0.344,1.033
NCT00621140,cox,adj,age10,placebo,-0.376,0.167,-2.242,0.025,-0.704,-0.047
NCT00622284,cox,adj,sex,sulf,-0.023,0.108,-0.218,0.828,-0.234,0.187
NCT00622284,cox,adj,age10,sulf,0.014,0.057,0.25,0.803,-0.097,0.125
NCT00641043,cox,adj,sex,placebo,0.033,0.366,0.089,0.929,-0.685,0.75
NCT00641043,cox,adj,age10,placebo,0.27,0.189,1.432,0.152,-0.1,0.641
NCT00654381,cox,adj,sex,placebo,0.053,0.416,0.127,0.899,-0.762,0.867
NCT00654381,cox,adj,age10,placebo,0.01,0.194,0.053,0.958,-0.37,0.39
NCT00740051,cox,adj,sex,placebo,1.296,0.3,4.324,0,0.708,1.883
NCT00740051,cox,adj,age10,placebo,-0.084,0.147,-0.574,0.566,-0.371,0.203
NCT00798161,cox,adj,sex,placebo,-0.032,0.232,-0.138,0.89,-0.486,0.422
NCT00798161,cox,adj,age10,placebo,0.073,0.107,0.684,0.494,-0.137,0.283
NCT00800683,cox,adj,sex,placebo,-0.037,0.355,-0.104,0.917,-0.732,0.659
NCT00800683,cox,adj,age10,placebo,-0.434,0.151,-2.878,0.004,-0.73,-0.139
NCT00819091,cox,adj,sex,placebo,0.006,0.486,0.013,0.989,-0.946,0.959
NCT00819091,cox,adj,age10,placebo,0.182,0.25,0.729,0.466,-0.308,0.672
NCT00915772,cox,adj,sex,biguanide,-0.165,0.221,-0.747,0.455,-0.599,0.269
NCT00915772,cox,adj,age10,biguanide,0.125,0.106,1.185,0.236,-0.082,0.332
NCT00954447,cox,adj,sex,placebo,0.149,0.145,1.026,0.305,-0.136,0.434
NCT00954447,cox,adj,age10,placebo,-0.006,0.073,-0.084,0.933,-0.15,0.137
NCT00996658,cox,adj,sex,placebo,0.537,0.37,1.453,0.146,-0.187,1.262
NCT00996658,cox,adj,age10,placebo,0.356,0.192,1.856,0.064,-0.02,0.732
NCT01084005,cox,adj,sex,placebo,0.144,0.483,0.297,0.766,-0.803,1.091
NCT01084005,cox,adj,age10,placebo,-0.719,0.623,-1.153,0.249,-1.941,0.503
NCT01087502,cox,adj,sex,placebo,-0.12,0.292,-0.41,0.682,-0.692,0.453
NCT01087502,cox,adj,age10,placebo,-0.298,0.145,-2.049,0.04,-0.582,-0.013
NCT01159600,cox,adj,sex,placebo,-0.222,0.197,-1.127,0.26,-0.607,0.164
NCT01159600,cox,adj,age10,placebo,0.064,0.103,0.617,0.537,-0.139,0.267
NCT01164501,cox,adj,sex,placebo,0.329,0.222,1.481,0.139,-0.106,0.764
NCT01164501,cox,adj,age10,placebo,-0.003,0.122,-0.028,0.977,-0.243,0.236
NCT01167881,cox,adj,sex,sulf,0.014,0.109,0.133,0.895,-0.198,0.227
NCT01167881,cox,adj,age10,sulf,-0.094,0.053,-1.77,0.077,-0.197,0.01
NCT01177813,cox,adj,sex,placebo,0.059,0.213,0.278,0.781,-0.358,0.477
NCT01177813,cox,adj,age10,placebo,-0.077,0.093,-0.827,0.408,-0.259,0.105
NCT01194830,cox,adj,sex,placebo,0.036,0.275,0.132,0.895,-0.503,0.576
NCT01194830,cox,adj,age10,placebo,-0.047,0.136,-0.348,0.728,-0.314,0.219
NCT01210001,cox,adj,sex,placebo,0.281,0.318,0.884,0.376,-0.342,0.904
NCT01210001,cox,adj,age10,placebo,0.105,0.162,0.646,0.518,-0.213,0.423
NCT01214239,cox,adj,sex,placebo,-0.096,0.373,-0.256,0.798,-0.827,0.636
NCT01214239,cox,adj,age10,placebo,0.006,0.192,0.032,0.975,-0.371,0.383
NCT01215097,cox,adj,sex,placebo,-0.024,0.394,-0.06,0.952,-0.795,0.748
NCT01215097,cox,adj,age10,placebo,-0.212,0.189,-1.122,0.262,-0.582,0.158
NCT01306214,cox,adj,sex,placebo,0.131,0.214,0.612,0.54,-0.288,0.551
NCT01306214,cox,adj,age10,placebo,-0.002,0.113,-0.017,0.986,-0.224,0.22
NCT01370005,cox,adj,sex,placebo,-0.315,0.335,-0.942,0.346,-0.971,0.341
NCT01370005,cox,adj,age10,placebo,-0.202,0.18,-1.125,0.261,-0.555,0.15
NCT01422876,cox,adj,sex,dpp4,0.179,0.184,0.976,0.329,-0.181,0.539
NCT01422876,cox,adj,age10,dpp4,-0.05,0.087,-0.575,0.565,-0.222,0.121
NCT01438814,cox,adj,sex,biguanide,0.296,0.389,0.76,0.447,-0.467,1.059
NCT01438814,cox,adj,age10,biguanide,-0.107,0.178,-0.6,0.548,-0.455,0.242
NCT01708902,cox,adj,sex,biguanide,-0.257,0.311,-0.827,0.409,-0.867,0.353
NCT01708902,cox,adj,age10,biguanide,-0.052,0.155,-0.333,0.739,-0.355,0.252
NCT01719003,cox,adj,sex,biguanide,-0.232,0.246,-0.94,0.347,-0.714,0.251
NCT01719003,cox,adj,age10,biguanide,-0.052,0.115,-0.451,0.652,-0.277,0.174
NCT01734785,cox,adj,sex,placebo,-1.391,0.527,-2.64,0.008,-2.423,-0.358
NCT01734785,cox,adj,age10,placebo,0.045,0.239,0.188,0.851,-0.424,0.514
NCT01792518,cox,adj,sex,placebo,0.533,0.588,0.905,0.365,-0.62,1.685
NCT01792518,cox,adj,age10,placebo,-0.177,0.266,-0.664,0.507,-0.699,0.345
NCT02182830,cox,adj,sex,placebo,0.149,0.354,0.421,0.674,-0.545,0.843
NCT02182830,cox,adj,age10,placebo,-0.118,0.183,-0.647,0.518,-0.478,0.241
NCT02453555,cox,adj,sex,placebo,-0.425,0.499,-0.853,0.394,-1.403,0.552
NCT02453555,cox,adj,age10,placebo,0.302,0.239,1.266,0.206,-0.166,0.771
NCT01064687,cox,adj,sex,placebo,0.055,0.189,0.293,0.769,-0.315,0.426
NCT01064687,cox,adj,age10,placebo,0.004,0.095,0.043,0.965,-0.182,0.19
NCT01075282,cox,adj,sex,insulin,-0.407,0.222,-1.836,0.066,-0.841,0.027
NCT01075282,cox,adj,age10,insulin,-0.15,0.114,-1.308,0.191,-0.374,0.075
NCT01126580,cox,adj,sex,biguanide,0.037,0.162,0.229,0.819,-0.281,0.355
NCT01126580,cox,adj,age10,biguanide,-0.071,0.079,-0.899,0.369,-0.225,0.084
NCT01191268,cox,adj,sex,insulin,0.031,0.157,0.2,0.842,-0.276,0.339
NCT01191268,cox,adj,age10,insulin,-0.102,0.084,-1.208,0.227,-0.267,0.063
NCT01558271,cox,adj,sex,placebo,-0.49,0.337,-1.452,0.147,-1.15,0.171
NCT01558271,cox,adj,age10,placebo,-0.056,0.154,-0.363,0.717,-0.357,0.245
NCT01621178,cox,adj,sex,insulin,0.253,0.21,1.202,0.23,-0.159,0.664
NCT01621178,cox,adj,age10,insulin,-0.07,0.122,-0.577,0.564,-0.309,0.168
NCT01648582,cox,adj,sex,insulin,0.004,0.228,0.017,0.987,-0.443,0.451
NCT01648582,cox,adj,age10,insulin,0.206,0.125,1.65,0.099,-0.039,0.451
NCT01769378,cox,adj,sex,placebo,1.176,0.45,2.616,0.009,0.295,2.057
NCT01769378,cox,adj,age10,placebo,-0.007,0.21,-0.035,0.972,-0.42,0.405
NCT02152371,cox,adj,sex,placebo,0.497,0.408,1.22,0.223,-0.302,1.297
NCT02152371,cox,adj,age10,placebo,0.152,0.202,0.753,0.452,-0.244,0.548
NCT02597049,cox,adj,sex,placebo,-0.844,0.596,-1.418,0.156,-2.012,0.323
NCT02597049,cox,adj,age10,placebo,-0.271,0.291,-0.931,0.352,-0.84,0.299
NCT02750410,cox,adj,sex,placebo,0.733,0.572,1.282,0.2,-0.388,1.854
NCT02750410,cox,adj,age10,placebo,0.137,0.241,0.568,0.57,-0.336,0.609
NCT00838903,cox,adj,sex,placebo,0.058,0.102,0.568,0.57,-0.143,0.259
NCT00838903,cox,adj,age10,placebo,-0.099,0.052,-1.877,0.06,-0.201,0.004
NCT00838916,cox,adj,sex,insulin,0.041,0.123,0.332,0.74,-0.2,0.282
NCT00838916,cox,adj,age10,insulin,-0.125,0.064,-1.939,0.052,-0.251,0.001
NCT00839527,cox,adj,sex,placebo,-0.127,0.116,-1.088,0.277,-0.355,0.102
NCT00839527,cox,adj,age10,placebo,0.032,0.062,0.513,0.608,-0.09,0.154
NCT00849017,cox,adj,sex,placebo,0.193,0.187,1.031,0.303,-0.174,0.561
NCT00849017,cox,adj,age10,placebo,-0.241,0.081,-2.983,0.003,-0.4,-0.083
NCT00849056,cox,adj,sex,placebo,-0.334,0.19,-1.761,0.078,-0.705,0.038
NCT00849056,cox,adj,age10,placebo,-0.184,0.098,-1.877,0.061,-0.376,0.008
NCT00976391,cox,adj,sex,insulin,-0.012,0.226,-0.053,0.957,-0.454,0.43
NCT00976391,cox,adj,age10,insulin,-0.311,0.12,-2.597,0.009,-0.546,-0.076
NCT01098539,cox,adj,sex,dpp4,-0.299,0.186,-1.609,0.108,-0.662,0.065
NCT01098539,cox,adj,age10,dpp4,-0.192,0.104,-1.849,0.064,-0.395,0.012
NCT01733758,cox,adj,sex,placebo,-0.456,0.305,-1.496,0.135,-1.054,0.141
NCT01733758,cox,adj,age10,placebo,-0.159,0.148,-1.078,0.281,-0.448,0.13
NCT02229227,cox,adj,sex,insulin,0.116,0.191,0.61,0.542,-0.258,0.491
NCT02229227,cox,adj,age10,insulin,0.149,0.106,1.408,0.159,-0.058,0.356
NCT00968812,cox,adj,sex,sulf,-0.191,0.092,-2.072,0.038,-0.372,-0.01
NCT00968812,cox,adj,age10,sulf,0.006,0.05,0.119,0.905,-0.093,0.105
NCT01081834,cox,adj,sex,placebo,-0.156,0.177,-0.881,0.378,-0.502,0.191
NCT01081834,cox,adj,age10,placebo,-0.136,0.081,-1.674,0.094,-0.296,0.023
NCT01106625,cox,adj,sex,placebo,0.06,0.16,0.374,0.709,-0.253,0.372
NCT01106625,cox,adj,age10,placebo,-0.013,0.085,-0.152,0.88,-0.18,0.154
NCT01106651,cox,adj,sex,placebo,-0.22,0.144,-1.529,0.126,-0.501,0.062
NCT01106651,cox,adj,age10,placebo,0.165,0.112,1.473,0.141,-0.054,0.384
NCT01106677,cox,adj,sex,placebo,-0.068,0.124,-0.55,0.583,-0.311,0.175
NCT01106677,cox,adj,age10,placebo,-0.046,0.066,-0.704,0.481,-0.175,0.083
NCT01106690,cox,adj,sex,placebo,0.02,0.236,0.085,0.932,-0.442,0.482
NCT01106690,cox,adj,age10,placebo,0.07,0.112,0.624,0.532,-0.15,0.291
NCT01137812,cox,adj,sex,dpp4,-0.151,0.117,-1.285,0.199,-0.381,0.079
NCT01137812,cox,adj,age10,dpp4,0.04,0.063,0.639,0.523,-0.083,0.163
NCT01381900,cox,adj,sex,placebo,0.21,0.361,0.581,0.561,-0.498,0.918
NCT01381900,cox,adj,age10,placebo,-0.211,0.173,-1.218,0.223,-0.55,0.128
NCT01809327,cox,adj,sex,biguanide,0.573,0.234,2.451,0.014,0.115,1.031
NCT01809327,cox,adj,age10,biguanide,0.126,0.116,1.086,0.278,-0.102,0.354
NCT02025907,cox,adj,sex,placebo,0.251,0.335,0.748,0.454,-0.406,0.908
NCT02025907,cox,adj,age10,placebo,-0.08,0.161,-0.499,0.618,-0.395,0.235
NCT00688701,cox,adj,sex,placebo,-0.069,0.365,-0.188,0.851,-0.784,0.647
NCT00688701,cox,adj,age10,placebo,-0.021,0.174,-0.119,0.905,-0.362,0.32
NCT00712673,cox,adj,sex,placebo,-0.078,0.157,-0.496,0.62,-0.385,0.229
NCT00712673,cox,adj,age10,placebo,0.144,0.083,1.736,0.083,-0.019,0.308
NCT00713830,cox,adj,sex,placebo,-0.151,0.125,-1.21,0.226,-0.396,0.094
NCT00713830,cox,adj,age10,placebo,-0.001,0.064,-0.009,0.993,-0.127,0.125
NCT00715624,cox,adj,sex,placebo,-0.013,0.156,-0.082,0.934,-0.318,0.292
NCT00715624,cox,adj,age10,placebo,-0.031,0.08,-0.391,0.696,-0.189,0.126
NCT00763451,cox,adj,sex,placebo,-0.064,0.199,-0.32,0.749,-0.453,0.326
NCT00763451,cox,adj,age10,placebo,0.178,0.107,1.653,0.098,-0.033,0.388
NCT00763815,cox,adj,sex,placebo,0.064,0.173,0.371,0.711,-0.274,0.403
NCT00763815,cox,adj,age10,placebo,-0.133,0.091,-1.457,0.145,-0.311,0.046
NCT00866658,cox,adj,sex,placebo,-0.03,0.35,-0.086,0.932,-0.716,0.656
NCT00866658,cox,adj,age10,placebo,0.612,0.2,3.056,0.002,0.22,1.005
NCT00975286,cox,adj,sex,placebo,0.153,0.313,0.488,0.626,-0.461,0.767
NCT00975286,cox,adj,age10,placebo,0.021,0.159,0.134,0.894,-0.29,0.333
NCT00976937,cox,adj,sex,dpp4,0.188,0.393,0.479,0.632,-0.582,0.958
NCT00976937,cox,adj,age10,dpp4,-0.015,0.387,-0.04,0.968,-0.774,0.743
NCT01169779,cox,adj,sex,placebo,-0.005,0.393,-0.013,0.99,-0.775,0.765
NCT01169779,cox,adj,age10,placebo,0.174,0.2,0.869,0.385,-0.218,0.566
NCT01632163,cox,adj,sex,placebo,-0.35,0.39,-0.896,0.37,-1.115,0.415
NCT01632163,cox,adj,age10,placebo,-0.016,0.211,-0.074,0.941,-0.429,0.397
NCT01768559,cox,adj,sex,insulin,0.129,0.265,0.486,0.627,-0.391,0.649
NCT01768559,cox,adj,age10,insulin,0.256,0.154,1.66,0.097,-0.046,0.559
NCT01798706,cox,adj,sex,placebo,-0.334,0.332,-1.007,0.314,-0.985,0.316
NCT01798706,cox,adj,age10,placebo,0.533,0.391,1.365,0.172,-0.233,1.299
NCT00286429,cox,adj,sex,placebo,-0.128,0.161,-0.796,0.426,-0.443,0.187
NCT00286429,cox,adj,age10,placebo,-0.239,0.076,-3.151,0.002,-0.388,-0.09
NCT00286442,cox,adj,sex,placebo,-0.133,0.198,-0.668,0.504,-0.521,0.256
NCT00286442,cox,adj,age10,placebo,-0.034,0.095,-0.361,0.718,-0.221,0.153
NCT00286455,cox,adj,sex,placebo,-0.143,0.241,-0.594,0.552,-0.616,0.329
NCT00286455,cox,adj,age10,placebo,-0.381,0.113,-3.385,0.001,-0.602,-0.161
NCT00286468,cox,adj,sex,placebo,-0.499,0.173,-2.876,0.004,-0.839,-0.159
NCT00286468,cox,adj,age10,placebo,-0.219,0.075,-2.912,0.004,-0.366,-0.072
NCT00286494,cox,adj,sex,placebo,-0.171,0.2,-0.854,0.393,-0.563,0.221
NCT00286494,cox,adj,age10,placebo,-0.135,0.098,-1.373,0.17,-0.328,0.058
NCT00707993,cox,adj,sex,sulf,0.106,0.148,0.714,0.475,-0.185,0.396
NCT00707993,cox,adj,age10,sulf,-0.352,0.192,-1.831,0.067,-0.729,0.025
NCT00856284,cox,adj,sex,sulf,-0.026,0.057,-0.461,0.645,-0.137,0.085
NCT00856284,cox,adj,age10,sulf,-0.089,0.03,-2.975,0.003,-0.148,-0.03
NCT01023581,cox,adj,sex,placebo,0.252,0.177,1.428,0.153,-0.094,0.599
NCT01023581,cox,adj,age10,placebo,-0.107,0.089,-1.211,0.226,-0.281,0.066
NCT01289119,cox,adj,sex,placebo,-0.051,0.322,-0.157,0.875,-0.682,0.58
NCT01289119,cox,adj,age10,placebo,-0.311,0.159,-1.961,0.05,-0.622,0
NCT01632007,cox,adj,sex,placebo,1.594,1.034,1.542,0.123,-0.432,3.619
NCT01632007,cox,adj,age10,placebo,0.178,0.255,0.697,0.486,-0.322,0.678
NCT01890122,cox,adj,sex,placebo,-0.345,0.184,-1.877,0.061,-0.706,0.015
NCT01890122,cox,adj,age10,placebo,-0.237,0.091,-2.592,0.01,-0.416,-0.058
NCT01217892,glm,adj,(Intercept),placebo,-6.188,1.302,-4.751,0,-8.74,-3.635
NCT01217892,glm,adj,sex,placebo,0.295,0.404,0.73,0.465,-0.497,1.087
NCT01217892,glm,adj,age10,placebo,0.599,0.213,2.81,0.005,0.181,1.016
NCT01606007,glm,adj,(Intercept),dpp4,-1.073,1.021,-1.051,0.293,-3.075,0.929
NCT01606007,glm,adj,sex,dpp4,-0.256,0.421,-0.61,0.542,-1.081,0.568
NCT01606007,glm,adj,age10,dpp4,-0.262,0.197,-1.325,0.185,-0.648,0.125
NCT01619059,glm,adj,(Intercept),placebo,-2.823,1.647,-1.714,0.086,-6.051,0.405
NCT01619059,glm,adj,sex,placebo,0.253,0.531,0.477,0.634,-0.788,1.295
NCT01619059,glm,adj,age10,placebo,-0.048,0.285,-0.167,0.868,-0.606,0.511
NCT02471404,glm,adj,(Intercept),sulf,-3.469,1.292,-2.685,0.007,-6.002,-0.936
NCT02471404,glm,adj,sex,sulf,0.716,0.467,1.533,0.125,-0.199,1.631
NCT02471404,glm,adj,age10,sulf,-0.005,0.212,-0.023,0.982,-0.421,0.411
NCT02681094,glm,adj,(Intercept),dpp4,-1.874,1.097,-1.708,0.088,-4.025,0.276
NCT02681094,glm,adj,sex,dpp4,0.255,0.438,0.582,0.561,-0.604,1.115
NCT02681094,glm,adj,age10,dpp4,-0.273,0.192,-1.42,0.156,-0.649,0.104
NCT00601250,glm,adj,(Intercept),placebo,-1.871,0.809,-2.313,0.021,-3.456,-0.285
NCT00601250,glm,adj,sex,placebo,-0.313,0.287,-1.09,0.276,-0.875,0.25
NCT00601250,glm,adj,age10,placebo,-0.084,0.139,-0.605,0.545,-0.356,0.188
NCT00602472,glm,adj,(Intercept),placebo,-2.809,0.718,-3.911,0,-4.217,-1.401
NCT00602472,glm,adj,sex,placebo,0.205,0.234,0.875,0.382,-0.254,0.664
NCT00602472,glm,adj,age10,placebo,0.033,0.119,0.28,0.78,-0.2,0.267
NCT00621140,glm,adj,(Intercept),placebo,-0.447,0.931,-0.48,0.631,-2.271,1.377
NCT00621140,glm,adj,sex,placebo,0.282,0.364,0.775,0.438,-0.431,0.996
NCT00621140,glm,adj,age10,placebo,-0.438,0.173,-2.532,0.011,-0.777,-0.099
NCT00622284,glm,adj,(Intercept),sulf,-1.285,0.397,-3.233,0.001,-2.064,-0.506
NCT00622284,glm,adj,sex,sulf,-0.023,0.123,-0.186,0.852,-0.263,0.218
NCT00622284,glm,adj,age10,sulf,0.017,0.064,0.266,0.79,-0.109,0.143
NCT00641043,glm,adj,(Intercept),placebo,-4.047,1.203,-3.365,0.001,-6.404,-1.69
NCT00641043,glm,adj,sex,placebo,0.052,0.382,0.136,0.892,-0.697,0.801
NCT00641043,glm,adj,age10,placebo,0.275,0.197,1.395,0.163,-0.111,0.661
NCT00654381,glm,adj,(Intercept),placebo,-2.947,1.252,-2.354,0.019,-5.4,-0.494
NCT00654381,glm,adj,sex,placebo,0.067,0.427,0.158,0.875,-0.77,0.905
NCT00654381,glm,adj,age10,placebo,0.011,0.199,0.053,0.958,-0.38,0.401
NCT00740051,glm,adj,(Intercept),placebo,-1.311,0.967,-1.356,0.175,-3.207,0.585
NCT00740051,glm,adj,sex,placebo,1.484,0.341,4.356,0,0.816,2.152
NCT00740051,glm,adj,age10,placebo,-0.119,0.167,-0.71,0.478,-0.447,0.209
NCT00798161,glm,adj,(Intercept),placebo,-1.872,0.673,-2.78,0.005,-3.191,-0.552
NCT00798161,glm,adj,sex,placebo,-0.002,0.249,-0.006,0.995,-0.49,0.486
NCT00798161,glm,adj,age10,placebo,0.029,0.116,0.246,0.806,-0.199,0.256
NCT00800683,glm,adj,(Intercept),placebo,2.265,1.284,1.764,0.078,-0.252,4.782
NCT00800683,glm,adj,sex,placebo,-0.026,0.424,-0.061,0.952,-0.856,0.805
NCT00800683,glm,adj,age10,placebo,-0.518,0.195,-2.652,0.008,-0.901,-0.135
NCT00819091,glm,adj,(Intercept),placebo,-3.646,1.563,-2.333,0.02,-6.709,-0.583
NCT00819091,glm,adj,sex,placebo,0.004,0.505,0.007,0.994,-0.986,0.993
NCT00819091,glm,adj,age10,placebo,0.187,0.26,0.72,0.472,-0.322,0.697
NCT00915772,glm,adj,(Intercept),biguanide,-2.004,0.698,-2.873,0.004,-3.371,-0.637
NCT00915772,glm,adj,sex,biguanide,-0.179,0.249,-0.717,0.473,-0.667,0.31
NCT00915772,glm,adj,age10,biguanide,0.135,0.117,1.148,0.251,-0.095,0.365
NCT00954447,glm,adj,(Intercept),placebo,-1.864,0.494,-3.777,0,-2.832,-0.897
NCT00954447,glm,adj,sex,placebo,0.185,0.158,1.176,0.24,-0.124,0.494
NCT00954447,glm,adj,age10,placebo,0.01,0.079,0.131,0.896,-0.145,0.166
NCT00996658,glm,adj,(Intercept),placebo,-4.57,1.227,-3.724,0,-6.975,-2.165
NCT00996658,glm,adj,sex,placebo,0.554,0.393,1.409,0.159,-0.217,1.326
NCT00996658,glm,adj,age10,placebo,0.402,0.211,1.902,0.057,-0.012,0.816
NCT01084005,glm,adj,(Intercept),placebo,3.103,4.808,0.645,0.519,-6.321,12.527
NCT01084005,glm,adj,sex,placebo,0.146,0.506,0.289,0.773,-0.846,1.138
NCT01084005,glm,adj,age10,placebo,-0.747,0.649,-1.151,0.25,-2.018,0.525
NCT01087502,glm,adj,(Intercept),placebo,1.068,1.151,0.927,0.354,-1.189,3.324
NCT01087502,glm,adj,sex,placebo,-0.149,0.334,-0.445,0.657,-0.804,0.506
NCT01087502,glm,adj,age10,placebo,-0.347,0.169,-2.054,0.04,-0.678,-0.016
NCT01159600,glm,adj,(Intercept),placebo,-2.6,0.626,-4.155,0,-3.827,-1.374
NCT01159600,glm,adj,sex,placebo,-0.245,0.205,-1.198,0.231,-0.646,0.156
NCT01159600,glm,adj,age10,placebo,0.05,0.107,0.463,0.644,-0.16,0.26
NCT01164501,glm,adj,(Intercept),placebo,-2.228,0.837,-2.662,0.008,-3.869,-0.588
NCT01164501,glm,adj,sex,placebo,0.367,0.235,1.561,0.119,-0.094,0.828
NCT01164501,glm,adj,age10,placebo,0.007,0.128,0.052,0.959,-0.244,0.258
NCT01167881,glm,adj,(Intercept),sulf,-0.861,0.336,-2.564,0.01,-1.519,-0.203
NCT01167881,glm,adj,sex,sulf,0.053,0.123,0.427,0.669,-0.189,0.294
NCT01167881,glm,adj,age10,sulf,-0.074,0.059,-1.254,0.21,-0.189,0.042
NCT01177813,glm,adj,(Intercept),placebo,-1.694,0.573,-2.955,0.003,-2.818,-0.571
NCT01177813,glm,adj,sex,placebo,0.07,0.225,0.309,0.757,-0.372,0.511
NCT01177813,glm,adj,age10,placebo,-0.088,0.099,-0.893,0.372,-0.283,0.106
NCT01194830,glm,adj,(Intercept),placebo,-0.777,0.874,-0.89,0.374,-2.49,0.935
NCT01194830,glm,adj,sex,placebo,0.028,0.317,0.087,0.93,-0.593,0.649
NCT01194830,glm,adj,age10,placebo,-0.067,0.158,-0.426,0.67,-0.376,0.242
NCT01210001,glm,adj,(Intercept),placebo,-3.264,0.961,-3.396,0.001,-5.148,-1.38
NCT01210001,glm,adj,sex,placebo,0.334,0.329,1.015,0.31,-0.31,0.978
NCT01210001,glm,adj,age10,placebo,0.124,0.168,0.736,0.462,-0.205,0.453
NCT01214239,glm,adj,(Intercept),placebo,-2.21,1.144,-1.931,0.053,-4.452,0.033
NCT01214239,glm,adj,sex,placebo,-0.082,0.392,-0.209,0.834,-0.85,0.686
NCT01214239,glm,adj,age10,placebo,0.012,0.198,0.059,0.953,-0.376,0.399
NCT01215097,glm,adj,(Intercept),placebo,-1.246,1.128,-1.104,0.27,-3.457,0.966
NCT01215097,glm,adj,sex,placebo,-0.018,0.412,-0.043,0.965,-0.825,0.789
NCT01215097,glm,adj,age10,placebo,-0.205,0.2,-1.022,0.307,-0.597,0.188
NCT01306214,glm,adj,(Intercept),placebo,-1.651,0.708,-2.332,0.02,-3.038,-0.263
NCT01306214,glm,adj,sex,placebo,0.163,0.233,0.702,0.482,-0.293,0.619
NCT01306214,glm,adj,age10,placebo,-0.02,0.123,-0.161,0.872,-0.26,0.221
NCT01370005,glm,adj,(Intercept),placebo,-1.102,1.068,-1.032,0.302,-3.196,0.991
NCT01370005,glm,adj,sex,placebo,-0.246,0.339,-0.726,0.468,-0.91,0.418
NCT01370005,glm,adj,age10,placebo,-0.307,0.18,-1.702,0.089,-0.661,0.047
NCT01422876,glm,adj,(Intercept),dpp4,-1.55,0.542,-2.858,0.004,-2.612,-0.487
NCT01422876,glm,adj,sex,dpp4,0.195,0.199,0.98,0.327,-0.195,0.584
NCT01422876,glm,adj,age10,dpp4,-0.056,0.095,-0.587,0.557,-0.242,0.13
NCT01438814,glm,adj,(Intercept),biguanide,-2.727,0.97,-2.81,0.005,-4.629,-0.825
NCT01438814,glm,adj,sex,biguanide,0.412,0.39,1.056,0.291,-0.353,1.176
NCT01438814,glm,adj,age10,biguanide,-0.124,0.18,-0.69,0.49,-0.476,0.228
NCT01708902,glm,adj,(Intercept),biguanide,-1.738,0.861,-2.019,0.044,-3.426,-0.05
NCT01708902,glm,adj,sex,biguanide,-0.208,0.327,-0.637,0.524,-0.85,0.433
NCT01708902,glm,adj,age10,biguanide,-0.074,0.16,-0.465,0.642,-0.388,0.239
