nct_id,modeltype,statistic.log,p.value.log,statistic.sc,p.value.sc,statistic.wald,p.value.wald,statistic.robust,p.value.robust,r.squared,r.squared.max,concordance,std.error.concordance,logLik,AIC,BIC,nobs,null.deviance,df.null,deviance,df.residual
NCT00763815,glm_unadj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-286.403,576.806,585.17,484,574.883,483,572.806,482
NCT00866658,glm_unadj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-104.159,212.318,219.791,310,210.2,309,208.318,308
NCT00975286,glm_unadj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-132.922,269.843,278.044,446,273.823,445,265.843,444
NCT00976937,glm_unadj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-91.935,187.87,195.401,319,184.993,318,183.87,317
NCT01169779,glm_unadj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-97.194,198.388,206.321,390,196.283,389,194.388,388
NCT01632163,glm_unadj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-84.252,172.504,179.555,251,171.385,250,168.504,249
NCT01768559,glm_unadj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-210.901,425.801,435.388,892,429.175,891,421.801,890
NCT01798706,glm_unadj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-115.079,234.159,241.727,325,230.413,324,230.159,323
NCT00286429,glm_unadj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-255.678,515.356,523.247,382,523.517,381,511.356,380
NCT00286442,glm_unadj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-252.343,508.686,517.174,515,512.63,514,504.686,513
NCT00286455,glm_unadj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-164.011,332.022,339.571,322,337.19,321,328.022,320
NCT00286468,glm_unadj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-290.652,585.304,593.733,500,587.197,499,581.304,498
NCT00286494,glm_unadj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-249.075,502.149,510.521,486,499.407,485,498.149,484
NCT00707993,glm_unadj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-299.087,602.174,610.352,441,598.539,440,598.174,439
NCT00856284,glm_unadj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1820.732,3645.465,3657.22,2638,3649.397,2637,3641.465,2636
NCT01023581,glm_unadj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-297.365,600.73,613.709,559,606.346,558,594.73,556
NCT01289119,glm_unadj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-142.126,288.252,296.701,505,284.478,504,284.252,503
NCT01632007,glm_unadj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-58.61,121.22,128.223,245,118.249,244,117.22,243
NCT01890122,glm_unadj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-264.865,535.731,548.302,488,544.401,487,529.731,485
NCT01217892,cox_adj,9.313,0.009,9.101,0.011,8.88,0.012,NA,NA,0.023,0.549,0.639,0.059,-152.196,308.392,310.984,394,NA,NA,NA,NA
NCT01606007,cox_adj,2.346,0.309,2.488,0.288,2.48,0.29,NA,NA,0.007,0.561,0.587,0.057,-141.018,286.036,288.473,345,NA,NA,NA,NA
NCT01619059,cox_adj,0.238,0.888,0.238,0.888,0.24,0.888,NA,NA,0.001,0.429,0.542,0.079,-85.336,174.672,176.088,305,NA,NA,NA,NA
NCT02471404,cox_adj,2.61,0.271,2.398,0.302,2.3,0.316,NA,NA,0.004,0.459,0.576,0.054,-182.25,368.5,371.235,598,NA,NA,NA,NA
NCT02681094,cox_adj,1.003,0.606,1.018,0.601,1.02,0.601,NA,NA,0.002,0.354,0.551,0.045,-129.457,262.915,265.186,595,NA,NA,NA,NA
NCT00601250,cox_adj,1.565,0.457,1.569,0.456,1.56,0.459,NA,NA,0.002,0.621,0.537,0.039,-338.771,681.542,685.483,700,NA,NA,NA,NA
NCT00602472,cox_adj,0.899,0.638,0.901,0.637,0.9,0.638,NA,NA,0.001,0.639,0.522,0.034,-537.692,1079.384,1084.122,1055,NA,NA,NA,NA
NCT00621140,cox_adj,5.75,0.056,5.884,0.053,5.8,0.055,NA,NA,0.011,0.537,0.637,0.056,-190.962,385.925,388.918,503,NA,NA,NA,NA
NCT00622284,cox_adj,0.111,0.946,0.111,0.946,0.11,0.946,NA,NA,0,0.964,0.506,0.016,-2585.89,5175.781,5183.553,1551,NA,NA,NA,NA
NCT00641043,cox_adj,2.149,0.342,2.092,0.351,2.08,0.353,NA,NA,0.006,0.616,0.57,0.053,-183.89,371.779,374.711,387,NA,NA,NA,NA
NCT00654381,cox_adj,0.019,0.991,0.019,0.991,0.02,0.991,NA,NA,0,0.499,0.518,0.056,-180.728,365.455,368.19,523,NA,NA,NA,NA
NCT00740051,cox_adj,20.766,0,22.132,0,19.32,0,NA,NA,0.087,0.902,0.667,0.037,-252.989,509.978,513.802,227,NA,NA,NA,NA
NCT00798161,cox_adj,0.498,0.779,0.498,0.78,0.5,0.78,NA,NA,0.001,0.835,0.525,0.035,-455.455,914.91,919.598,505,NA,NA,NA,NA
NCT00800683,cox_adj,7.589,0.022,8.583,0.014,8.32,0.016,NA,NA,0.057,0.916,0.63,0.049,-156.884,317.768,320.82,130,NA,NA,NA,NA
NCT00819091,cox_adj,0.544,0.762,0.533,0.766,0.53,0.766,NA,NA,0.002,0.54,0.543,0.07,-92.011,188.021,189.688,238,NA,NA,NA,NA
NCT00915772,cox_adj,2.099,0.35,2.089,0.352,2.08,0.353,NA,NA,0.005,0.911,0.547,0.033,-477.369,958.739,963.552,395,NA,NA,NA,NA
NCT00954447,cox_adj,1.075,0.584,1.071,0.585,1.07,0.586,NA,NA,0.001,0.882,0.522,0.021,-1337.77,2679.54,2686.065,1252,NA,NA,NA,NA
NCT00996658,cox_adj,5.888,0.053,5.83,0.054,5.77,0.056,NA,NA,0.021,0.713,0.621,0.049,-166.784,337.568,340.436,272,NA,NA,NA,NA
NCT01084005,cox_adj,1.588,0.452,1.436,0.488,1.42,0.492,NA,NA,0.007,0.609,0.605,0.06,-111.315,226.63,228.719,239,NA,NA,NA,NA
NCT01087502,cox_adj,4.068,0.131,4.292,0.117,4.27,0.118,NA,NA,0.017,0.897,0.575,0.042,-265.322,534.644,538.468,235,NA,NA,NA,NA
NCT01159600,cox_adj,1.655,0.437,1.657,0.437,1.65,0.438,NA,NA,0.001,0.67,0.539,0.031,-721.645,1447.289,1452.578,1303,NA,NA,NA,NA
NCT01164501,cox_adj,2.261,0.323,2.214,0.331,2.19,0.334,NA,NA,0.003,0.798,0.531,0.03,-587.423,1178.846,1183.868,737,NA,NA,NA,NA
NCT01167881,cox_adj,3.119,0.21,3.136,0.208,3.14,0.209,NA,NA,0.002,0.959,0.517,0.017,-2471.407,4946.814,4954.507,1545,NA,NA,NA,NA
NCT01177813,cox_adj,0.786,0.675,0.788,0.674,0.79,0.674,NA,NA,0.001,0.754,0.523,0.03,-629.448,1262.896,1268.004,897,NA,NA,NA,NA
NCT01194830,cox_adj,0.136,0.934,0.136,0.934,0.14,0.934,NA,NA,0.001,0.924,0.528,0.041,-277.851,559.703,563.643,216,NA,NA,NA,NA
NCT01210001,cox_adj,1.214,0.545,1.212,0.545,1.21,0.547,NA,NA,0.002,0.624,0.549,0.05,-243.007,490.013,493.44,498,NA,NA,NA,NA
NCT01214239,cox_adj,0.071,0.965,0.071,0.965,0.07,0.965,NA,NA,0,0.674,0.531,0.048,-167.485,338.971,341.773,299,NA,NA,NA,NA
NCT01215097,cox_adj,1.237,0.539,1.259,0.533,1.26,0.533,NA,NA,0.004,0.615,0.57,0.052,-144.973,293.946,296.462,305,NA,NA,NA,NA
NCT01306214,cox_adj,0.374,0.829,0.376,0.829,0.38,0.829,NA,NA,0.001,0.853,0.516,0.031,-539.889,1083.778,1088.733,563,NA,NA,NA,NA
NCT01370005,cox_adj,2.193,0.334,2.25,0.325,2.24,0.326,NA,NA,0.003,0.428,0.567,0.049,-228.936,461.873,465.095,824,NA,NA,NA,NA
NCT01422876,cox_adj,1.303,0.521,1.3,0.522,1.3,0.523,NA,NA,0.002,0.859,0.525,0.026,-800.755,1605.51,1611.102,817,NA,NA,NA,NA
NCT01438814,cox_adj,0.939,0.625,0.942,0.624,0.94,0.626,NA,NA,0.001,0.39,0.567,0.056,-169.644,343.289,345.953,689,NA,NA,NA,NA
NCT01708902,cox_adj,0.766,0.682,0.774,0.679,0.77,0.68,NA,NA,0.002,0.674,0.55,0.043,-243.953,491.906,495.382,436,NA,NA,NA,NA
NCT01719003,cox_adj,1.194,0.551,1.198,0.549,1.19,0.551,NA,NA,0.002,0.712,0.548,0.035,-422.407,848.813,853.252,679,NA,NA,NA,NA
NCT01734785,cox_adj,7.991,0.018,8.159,0.017,6.97,0.031,NA,NA,0.024,0.464,0.669,0.059,-99.574,203.147,204.928,332,NA,NA,NA,NA
NCT01792518,cox_adj,1.206,0.547,1.178,0.555,1.16,0.559,NA,NA,0.003,0.369,0.599,0.087,-82.24,168.479,169.895,360,NA,NA,NA,NA
NCT02182830,cox_adj,0.526,0.769,0.522,0.77,0.52,0.77,NA,NA,0.003,0.864,0.521,0.053,-163.281,330.563,333.616,164,NA,NA,NA,NA
NCT02453555,cox_adj,2.699,0.259,2.736,0.255,2.69,0.26,NA,NA,0.01,0.538,0.6,0.057,-104.733,213.466,215.355,275,NA,NA,NA,NA
NCT01064687,cox_adj,0.089,0.956,0.089,0.956,0.09,0.957,NA,NA,0,0.781,0.509,0.031,-740.354,1484.708,1490.267,976,NA,NA,NA,NA
NCT01075282,cox_adj,5.396,0.067,5.42,0.067,5.36,0.069,NA,NA,0.007,0.747,0.566,0.031,-552.483,1108.967,1113.828,807,NA,NA,NA,NA
NCT01126580,cox_adj,0.838,0.658,0.838,0.658,0.84,0.658,NA,NA,0.001,0.909,0.511,0.025,-964.988,1933.976,1940.076,807,NA,NA,NA,NA
NCT01191268,cox_adj,1.471,0.479,1.483,0.476,1.48,0.477,NA,NA,0.002,0.91,0.525,0.025,-1065.999,2135.997,2142.209,884,NA,NA,NA,NA
NCT01558271,cox_adj,2.088,0.352,2.3,0.317,2.26,0.323,NA,NA,0.004,0.675,0.555,0.046,-275.812,555.624,559.281,492,NA,NA,NA,NA
NCT01621178,cox_adj,1.777,0.411,1.769,0.413,1.76,0.415,NA,NA,0.003,0.869,0.53,0.03,-583.061,1170.123,1175.231,575,NA,NA,NA,NA
NCT01648582,cox_adj,2.79,0.248,2.722,0.256,2.72,0.256,NA,NA,0.004,0.717,0.551,0.037,-487.138,978.276,982.989,774,NA,NA,NA,NA
NCT01769378,cox_adj,7.686,0.021,7.689,0.021,6.86,0.032,NA,NA,0.025,0.592,0.668,0.051,-130.292,264.583,267.021,299,NA,NA,NA,NA
NCT02152371,cox_adj,1.931,0.381,1.891,0.388,1.87,0.393,NA,NA,0.006,0.64,0.571,0.055,-152.208,308.416,311.08,300,NA,NA,NA,NA
NCT02597049,cox_adj,3.293,0.193,3.211,0.201,3.06,0.217,NA,NA,0.008,0.291,0.628,0.068,-71.17,146.34,147.756,423,NA,NA,NA,NA
NCT02750410,cox_adj,2.199,0.333,2.071,0.355,1.99,0.369,NA,NA,0.014,0.658,0.615,0.074,-84.185,172.37,174.037,159,NA,NA,NA,NA
NCT00838903,cox_adj,3.795,0.15,3.818,0.148,3.82,0.148,NA,NA,0.004,0.994,0.523,0.015,-2555.333,5114.667,5122.558,1009,NA,NA,NA,NA
NCT00838916,cox_adj,3.795,0.15,3.822,0.148,3.82,0.148,NA,NA,0.005,0.991,0.537,0.018,-1718.812,3441.623,3448.813,739,NA,NA,NA,NA
NCT00839527,cox_adj,1.397,0.497,1.4,0.497,1.4,0.497,NA,NA,0.002,0.996,0.522,0.017,-1842.488,3688.976,3696.357,661,NA,NA,NA,NA
NCT00849017,cox_adj,9.427,0.009,9.397,0.009,9.32,0.009,NA,NA,0.031,0.986,0.585,0.025,-638.371,1280.742,1286.283,299,NA,NA,NA,NA
NCT00849056,cox_adj,7.219,0.027,7.389,0.025,7.35,0.025,NA,NA,0.024,0.984,0.564,0.028,-617.01,1238.019,1243.474,301,NA,NA,NA,NA
NCT00976391,cox_adj,6.513,0.039,6.722,0.035,6.75,0.034,NA,NA,0.011,0.825,0.585,0.032,-489.767,983.534,988.323,565,NA,NA,NA,NA
NCT01098539,cox_adj,6.598,0.037,6.682,0.035,6.67,0.036,NA,NA,0.013,0.945,0.572,0.027,-710.275,1424.551,1430.109,493,NA,NA,NA,NA
NCT01733758,cox_adj,2.952,0.229,3.102,0.212,3.08,0.215,NA,NA,0.006,0.715,0.555,0.044,-305.656,615.312,619.136,490,NA,NA,NA,NA
NCT02229227,cox_adj,2.509,0.285,2.447,0.294,2.45,0.294,NA,NA,0.003,0.831,0.539,0.029,-721.382,1446.764,1452.201,812,NA,NA,NA,NA
NCT00968812,cox_adj,4.301,0.116,4.313,0.116,4.3,0.116,NA,NA,0.003,0.99,0.528,0.014,-3330.541,6665.081,6673.395,1452,NA,NA,NA,NA
NCT01081834,cox_adj,3.619,0.164,3.655,0.161,3.65,0.161,NA,NA,0.006,0.941,0.547,0.025,-826.813,1657.626,1663.437,587,NA,NA,NA,NA
NCT01106625,cox_adj,0.161,0.923,0.161,0.923,0.16,0.923,NA,NA,0,0.982,0.505,0.023,-937.048,1878.097,1884.235,469,NA,NA,NA,NA
NCT01106651,cox_adj,4.187,0.123,4.231,0.121,4.22,0.121,NA,NA,0.006,0.969,0.536,0.021,-1244.979,2493.959,2500.515,716,NA,NA,NA,NA
NCT01106677,cox_adj,0.762,0.683,0.762,0.683,0.76,0.683,NA,NA,0.001,0.94,0.509,0.019,-1809.525,3623.05,3630.202,1284,NA,NA,NA,NA
NCT01106690,cox_adj,0.432,0.806,0.43,0.806,0.43,0.807,NA,NA,0.001,0.932,0.527,0.032,-462.427,928.853,933.642,344,NA,NA,NA,NA
NCT01137812,cox_adj,2.033,0.362,2.042,0.36,2.04,0.361,NA,NA,0.003,0.992,0.521,0.018,-1843.308,3690.616,3697.969,756,NA,NA,NA,NA
NCT01381900,cox_adj,1.94,0.379,1.965,0.374,1.96,0.376,NA,NA,0.003,0.454,0.564,0.051,-204.022,412.044,414.976,678,NA,NA,NA,NA
NCT01809327,cox_adj,6.846,0.033,6.777,0.034,6.64,0.036,NA,NA,0.01,0.746,0.577,0.033,-484.576,973.152,977.916,712,NA,NA,NA,NA
NCT02025907,cox_adj,0.856,0.652,0.851,0.654,0.85,0.655,NA,NA,0.004,0.842,0.552,0.045,-200.459,404.918,408.295,218,NA,NA,NA,NA
NCT00688701,cox_adj,0.049,0.976,0.049,0.976,0.05,0.976,NA,NA,0,0.619,0.512,0.061,-173.762,351.524,354.327,360,NA,NA,NA,NA
NCT00712673,cox_adj,3.155,0.207,3.12,0.21,3.12,0.21,NA,NA,0.005,0.956,0.545,0.025,-1061.195,2126.389,2132.649,680,NA,NA,NA,NA
NCT00713830,cox_adj,1.47,0.479,1.472,0.479,1.47,0.48,NA,NA,0.002,0.98,0.519,0.019,-1685.713,3375.425,3382.531,858,NA,NA,NA,NA
NCT00715624,cox_adj,0.161,0.923,0.161,0.922,0.16,0.922,NA,NA,0,0.982,0.512,0.022,-988.09,1980.181,1986.405,494,NA,NA,NA,NA
NCT00763451,cox_adj,2.919,0.232,2.881,0.237,2.88,0.237,NA,NA,0.006,0.923,0.549,0.029,-617.139,1238.278,1243.547,482,NA,NA,NA,NA
NCT00763815,cox_adj,2.157,0.34,2.177,0.337,2.18,0.336,NA,NA,0.004,0.965,0.531,0.026,-807.662,1619.324,1625.149,484,NA,NA,NA,NA
NCT00866658,cox_adj,10.444,0.005,9.435,0.009,9.39,0.009,NA,NA,0.033,0.699,0.642,0.048,-181.017,366.033,369.026,310,NA,NA,NA,NA
NCT00975286,cox_adj,0.26,0.878,0.26,0.878,0.26,0.879,NA,NA,0.001,0.671,0.521,0.044,-248.086,500.173,503.6,446,NA,NA,NA,NA
NCT00976937,cox_adj,0.241,0.886,0.244,0.885,0.24,0.885,NA,NA,0.001,0.62,0.544,0.048,-154.292,312.583,315.175,319,NA,NA,NA,NA
NCT01169779,cox_adj,0.817,0.665,0.79,0.674,0.79,0.674,NA,NA,0.002,0.549,0.598,0.066,-154.847,313.694,316.286,390,NA,NA,NA,NA
NCT01632163,cox_adj,0.808,0.668,0.816,0.665,0.81,0.668,NA,NA,0.003,0.692,0.547,0.053,-147.329,298.657,301.249,251,NA,NA,NA,NA
NCT01768559,cox_adj,3.146,0.207,3.088,0.214,3.09,0.214,NA,NA,0.004,0.577,0.57,0.04,-382.349,768.698,772.819,892,NA,NA,NA,NA
NCT01798706,cox_adj,2.851,0.24,2.984,0.225,2.96,0.228,NA,NA,0.009,0.728,0.58,0.045,-210.428,424.856,428.078,325,NA,NA,NA,NA
NCT00286429,cox_adj,10.81,0.004,10.977,0.004,10.97,0.004,NA,NA,0.028,0.993,0.568,0.023,-938.839,1881.679,1887.915,382,NA,NA,NA,NA
NCT00286442,cox_adj,0.583,0.747,0.583,0.747,0.58,0.747,NA,NA,0.001,0.912,0.521,0.031,-625.572,1255.144,1260.394,515,NA,NA,NA,NA
NCT00286455,cox_adj,12.223,0.002,12.114,0.002,11.98,0.003,NA,NA,0.037,0.911,0.634,0.032,-383.554,771.109,775.606,322,NA,NA,NA,NA
NCT00286468,cox_adj,16.653,0,16.987,0,16.8,0,NA,NA,0.033,0.962,0.597,0.025,-812.162,1628.323,1634.163,500,NA,NA,NA,NA
NCT00286494,cox_adj,2.702,0.259,2.719,0.257,2.71,0.257,NA,NA,0.006,0.92,0.549,0.027,-611.617,1227.233,1232.483,486,NA,NA,NA,NA
NCT00707993,cox_adj,3.99,0.136,3.861,0.145,3.85,0.146,NA,NA,0.009,0.992,0.546,0.022,-1061.486,2126.973,2133.392,441,NA,NA,NA,NA
NCT00856284,cox_adj,9.067,0.011,9.108,0.011,9.11,0.011,NA,NA,0.003,0.999,0.516,0.009,-9454.819,18913.637,18923.896,2638,NA,NA,NA,NA
NCT01023581,cox_adj,3.658,0.161,3.664,0.16,3.65,0.161,NA,NA,0.007,0.942,0.545,0.027,-793.174,1590.347,1596.083,559,NA,NA,NA,NA
NCT01289119,cox_adj,3.843,0.146,3.934,0.14,3.91,0.141,NA,NA,0.008,0.633,0.58,0.04,-251.247,506.495,509.922,505,NA,NA,NA,NA
NCT01632007,cox_adj,4.171,0.124,3.28,0.194,2.78,0.249,NA,NA,0.017,0.511,0.637,0.062,-85.434,174.868,176.414,245,NA,NA,NA,NA
NCT01890122,cox_adj,9.648,0.008,9.699,0.008,9.62,0.008,NA,NA,0.02,0.947,0.583,0.025,-709.923,1423.846,1429.421,488,NA,NA,NA,NA
NCT01217892,glm_adj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-93.859,193.718,205.647,394,196.854,393,187.718,391
NCT01606007,glm_adj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-88.588,183.177,194.707,345,179.376,344,177.177,342
NCT01619059,glm_adj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-59.677,125.353,136.514,305,119.618,304,119.353,302
NCT02471404,glm_adj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-114.724,235.447,248.628,598,232.095,597,229.447,595
NCT02681094,glm_adj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-96.124,198.249,211.414,595,194.74,594,192.249,592
NCT00601250,glm_adj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-186.982,379.964,393.617,700,375.445,699,373.964,697
NCT00602472,glm_adj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-280.305,566.611,581.494,1055,561.443,1054,560.611,1052
NCT00621140,glm_adj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-118.314,242.627,255.289,503,243.575,502,236.627,500
NCT00622284,glm_adj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-840.296,1686.591,1702.631,1551,1680.699,1550,1680.591,1548
NCT00641043,glm_adj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-109.381,224.762,236.638,387,220.81,386,218.762,384
NCT00654381,glm_adj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-112.043,230.086,242.865,523,224.114,522,224.086,520
NCT00740051,glm_adj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-109.259,224.519,234.793,227,239.368,226,218.519,224
NCT00798161,glm_adj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-215.594,437.188,449.861,505,431.249,504,431.188,502
NCT00800683,glm_adj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-71.036,148.071,156.674,130,149.412,129,142.071,127
NCT00819091,glm_adj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-60.977,127.954,138.371,238,122.484,237,121.954,235
NCT00915772,glm_adj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-200.764,407.528,419.465,395,403.495,394,401.528,392
NCT00954447,glm_adj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-537.468,1080.937,1096.334,1252,1076.335,1251,1074.937,1249
NCT00996658,glm_adj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-93.494,192.988,203.805,272,192.977,271,186.988,269
NCT01084005,glm_adj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-70.34,146.681,157.11,239,142.24,238,140.681,236
NCT01087502,glm_adj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-119.508,245.015,255.394,235,243.271,234,239.015,232
NCT01159600,glm_adj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-361.821,729.641,745.158,1303,725.3,1302,723.641,1300
NCT01164501,glm_adj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-274.228,554.455,568.263,737,550.965,736,548.455,734
NCT01167881,glm_adj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-820.871,1647.742,1663.77,1545,1643.447,1544,1641.742,1542
NCT01177813,glm_adj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-302.608,611.216,625.613,897,606.147,896,605.216,894
NCT01194830,glm_adj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-120.259,246.517,256.643,216,240.707,215,240.517,213
NCT01210001,glm_adj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-140.84,287.68,300.312,498,283.284,497,281.68,495
NCT01214239,glm_adj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-97.394,200.788,211.889,299,194.839,298,194.788,296
NCT01215097,glm_adj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-88.358,182.716,193.877,305,177.753,304,176.716,302
NCT01306214,glm_adj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-243.802,493.604,506.604,563,488.113,562,487.604,560
NCT01370005,glm_adj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-149.266,304.532,318.675,824,301.954,823,298.532,821
NCT01422876,glm_adj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-341.989,689.978,704.094,817,685.306,816,683.978,814
NCT01438814,glm_adj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-116.322,238.644,252.25,689,234.216,688,232.644,686
NCT01708902,glm_adj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-137.894,281.788,294.021,436,276.375,435,275.788,433
NCT01719003,glm_adj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-220.123,446.246,459.808,679,441.902,678,440.246,676
NCT01734785,glm_adj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-65.995,137.989,149.405,332,139.937,331,131.989,329
NCT01792518,glm_adj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-61.835,129.67,141.328,360,124.708,359,123.67,357
NCT02182830,glm_adj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-83.494,172.989,182.288,164,167.405,163,166.989,161
NCT02453555,glm_adj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-67.772,141.543,152.394,275,138.205,274,135.543,272
NCT01064687,glm_adj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-361.403,728.807,743.457,976,723.695,975,722.807,973
NCT01075282,glm_adj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-266.873,539.746,553.826,807,539.037,806,533.746,804
NCT01126580,glm_adj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-394.661,795.322,809.402,807,792.45,806,789.322,804
NCT01191268,glm_adj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-424.048,854.096,868.449,884,850.993,883,848.096,881
NCT01558271,glm_adj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-151.184,308.369,320.964,492,305.584,491,302.369,489
NCT01621178,glm_adj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-256.4,518.8,531.863,575,515.454,574,512.8,572
NCT01648582,glm_adj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-251.961,509.923,523.877,774,505.86,773,503.923,771
NCT01769378,glm_adj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-81.628,169.256,180.357,299,171.927,298,163.256,296
NCT02152371,glm_adj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-92.188,190.376,201.488,300,186.11,299,184.376,297
NCT02597049,glm_adj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-63.318,132.636,144.778,423,129.641,422,126.636,420
NCT02750410,glm_adj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-53.013,112.025,121.232,159,108.127,158,106.025,156
NCT00838903,glm_adj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-667.59,1341.179,1355.929,1009,1338.683,1008,1335.179,1006
NCT00838916,glm_adj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-483.105,972.211,986.027,739,969.107,738,966.211,736
NCT00839527,glm_adj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-453.923,913.845,927.327,661,909.125,660,907.845,658
NCT00849017,glm_adj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-195.697,397.394,408.495,299,401.128,298,391.394,296
NCT00849056,glm_adj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-195.371,396.742,407.864,301,398.389,300,390.742,298
NCT00976391,glm_adj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-229.418,464.836,477.847,565,464.454,564,458.836,562
NCT01098539,glm_adj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-269.145,544.29,556.891,493,544.927,492,538.29,490
NCT01733758,glm_adj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-159.986,325.972,338.555,490,322.953,489,319.972,487
